id ,admissionno,codeno,studentidno,sadmissionidno,photo,imagesize,aadharno,studentname,gender,16-11-2022,bloodgroup,fathername,fatheroccupation,mothername,motheroccupation,address1,address2,city,pincode,district,state,phone,moblie,religion,cast,nation,currentclass,section,broadof,currentyear,schoolname,schoolbranch,schoolidno,teacheridno,email,passwords,token,sastatus,sssstatusprocess,emailverfied,phoneverified,moblieverified,officename,officebranch,officeidno,datetime,verifiedondate
,11300571,786003,61234080,11300571,,,0,Alice Wong,Male,24-03-2022,B+ve,Adam Jackson,BUSINESS,Brooke Alexander,TEACHING,"29686 Lawson Summit Apt. 405
Angelaland, NM 13747","29686 Lawson Summit Apt. 405
Angelaland, NM 13747",Balodabazar,493344,Balodabazar,Chhattisgarh,7224939834,7742557746,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,franksexton@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,25-08-2022 17:21,
,20402821,324010,60284870,20402821,,,0,Linda Jones,Female,18-10-2010,B+ve,Brandi Jones,ENGINEERING,Madison Duran DVM,OTHER,"6088 Burns Circle
South Melissa, SD 83799","6088 Burns Circle
South Melissa, SD 83799",Metpally,505325,Karimnagar,Telangana,9849873583,9919360684,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,boydcaitlin@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,26-08-2022 17:21,
,15601559,262901,60568863,15601559,,,0,Eric Davis,Male,03-02-2013,B+ve,Vanessa Anderson,BUSINESS,Patricia Fuller,OTHER,"318 Suzanne Valley Apt. 821
Port Brookeland, VA 59187","318 Suzanne Valley Apt. 821
Port Brookeland, VA 59187",Dabra,475110,Gwalior,Madhya Pradesh,8718006345,9725856480,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,richardbautista@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,27-08-2022 17:21,
,14401039,396410,60400671,14401039,,,0,Mackenzie Garcia,Male,31-08-2019,B+ve,Paul Kirk,BUSINESS,Ryan Myers,GOVERNMENT,"722 Edwards Loop
North Angela, AZ 36798","722 Edwards Loop
North Angela, AZ 36798",Bengaluru,560092,Bengaluru,Karnataka,9164164764,9426381258,OBC,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,emily25@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,28-08-2022 17:21,
,12604416,382424,60284541,12604416,,,0,David Gilmore,Male,22-10-2011,O+ve,Lisa Swanson,BUSINESS,Dale Smith,OTHER,"9990 Gonzalez Rapid
Villegasport, NE 93019","9990 Gonzalez Rapid
Villegasport, NE 93019",Surat,395006,Surat,Gujarat,9913072660,9960146626,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,morrismatthew@example.net,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,29-08-2022 17:21,
,13003115,413107,60814065,13003115,,,0,Alexandra Benton,Male,14-11-2021,AB+ve,Breanna Pitts,PRIVATE SERVICE,Alyssa Winters,GOVERNMENT,"163 Sue Glens Apt. 440
West Virginia, MI 85757","163 Sue Glens Apt. 440
West Virginia, MI 85757",Rohtak,124001,Rohtak,Haryana,9416812503,9018340916,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,jennifer45@example.net,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,30-08-2022 17:21,
,12402603,180007,60104086,12402603,,,0,Jessica Miller,Female,25-06-2018,B+ve,Mary Higgins,BUSINESS,Tim Bradley,OTHER,"59581 Flowers Extensions Suite 250
South Sarah, AR 40485","59581 Flowers Extensions Suite 250
South Sarah, AR 40485",Patan,384265,Patan,Gujarat,9898448677,9922092091,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,bmyers@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,31-08-2022 17:21,
,11009113,445204,60414558,11009113,,,0,Kathryn Mason,Female,20-12-2014,B+ve,Vanessa Gates,GOVERNMENT,Jason Stevenson,GOVERNMENT,"70777 Lawrence Street Apt. 109
Leehaven, VT 32634","70777 Lawrence Street Apt. 109
Leehaven, VT 32634",Muzaffarpur,842001,Muzaffarpur,Bihar,9801194839,9527888220,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,angelasnyder@example.net,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,01-09-2022 17:21,
,17016296,431715,60787807,17016296,,,0,Jeffrey Butler,Female,19-03-2012,A+ve,Scott Sanchez,BUSINESS,Michelle Cochran,OTHER,"04559 Olivia Roads Suite 759
East Jennifermouth, WV 37218","04559 Olivia Roads Suite 759
East Jennifermouth, WV 37218",Shrirampur,413709,Ahmednagar,Maharashtra,9860980245,9504303320,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,moorelori@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,02-09-2022 17:21,
,17117567,834001,60367798,17117567,,,0,Robert Walker,Female,25-05-2015,B+ve,Sydney Hartman,BUSINESS,Shelley Perez,OTHER,"31568 Ashley Key Apt. 349
New Rebeccatown, TX 29608","31568 Ashley Key Apt. 349
New Rebeccatown, TX 29608",Nerul,400706,Thane,Maharashtra,9892509337,9666647965,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,shelbyshepard@example.com,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,03-09-2022 17:21,
