idno	sacademicfeeidno	admissionno	studentidno	sadmissionidno	codeno	studentname	currentclass	phone	email	currentyear	totalamount	payedamount	feeconcession	officestaffidno	officestaffname	currentdate	currenttime	schoolname	schoolbranch	schoolidno	createdon	verifiedby
Empty	302673286	11300571	61234080	11300571	786003	Alice Wong	1CLASS	7224939834	franksexton@example.org	2022	13000	0	0	83126709	chandu	2022-08-15	15:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	15-08-2022 15:40	Empty
Empty	279148640	20402821	60284870	20402821	324010	Linda Jones	1CLASS	9849873583	boydcaitlin@example.org	2022	13000	0	0	83126709	chandu	2022-08-16	16:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	16-08-2022 15:40	Empty
Empty	219936354	15601559	60568863	15601559	262901	Eric Davis	1CLASS	8718006345	richardbautista@example.org	2022	13000	0	0	83126709	chandu	2022-08-17	17:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	17-08-2022 15:40	Empty
Empty	328202076	14401039	60400671	14401039	396410	Mackenzie Garcia	1CLASS	9164164764	emily25@example.org	2022	13000	0	0	83126709	chandu	2022-08-18	18:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	18-08-2022 15:40	Empty
Empty	316039411	12604416	60284541	12604416	382424	David Gilmore	1CLASS	9913072660	morrismatthew@example.net	2022	13000	0	0	83126709	chandu	2022-08-19	19:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	19-08-2022 15:40	Empty
Empty	529933875	13003115	60814065	13003115	413107	Alexandra Benton	1CLASS	9416812503	jennifer45@example.net	2022	13000	0	0	83126709	chandu	2022-08-20	20:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	20-08-2022 15:40	Empty
Empty	432923874	12402603	60104086	12402603	180007	Jessica Miller	1CLASS	9898448677	bmyers@example.org	2022	13000	0	0	83126709	chandu	2022-08-21	21:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	21-08-2022 15:40	Empty
Empty	531163906	11009113	60414558	11009113	445204	Kathryn Mason	1CLASS	9801194839	angelasnyder@example.net	2022	13000	0	0	83126709	chandu	2022-08-22	22:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	22-08-2022 15:40	Empty
Empty	277329686	17016296	60787807	17016296	431715	Jeffrey Butler	1CLASS	9860980245	moorelori@example.org	2022	13000	0	0	83126709	chandu	2022-08-23	23:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	23-08-2022 15:40	Empty
Empty	117012015	17117567	60367798	17117567	834001	Robert Walker	1CLASS	9892509337	shelbyshepard@example.com	2022	13000	0	0	83126709	chandu	2022-08-24	0:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	24-08-2022 15:40	Empty
Empty	390136802	78600594	60509071	78600594	502032	Franklin Nichols	1CLASS	9658190991	cameronamanda@example.org	2022	13000	0	0	83126709	chandu	2022-08-25	1:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	25-08-2022 15:40	Empty
Empty	521974814	19904768	60828879	19904768	212404	Jennifer Shaffer	1CLASS	9460988206	leejane@example.com	2022	13000	0	0	83126709	chandu	2022-08-26	2:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	26-08-2022 15:40	Empty
Empty	295732226	22020178	60912228	22020178	382850	Beth Campbell	1CLASS	9838764945	kylemiller@example.com	2022	13000	0	0	83126709	chandu	2022-08-27	3:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	27-08-2022 15:40	Empty
Empty	327118371	16909940	60664198	16909940	177038	Gina Alvarado	1CLASS	9011293904	gonzalezluis@example.net	2022	13000	0	0	83126709	chandu	2022-08-28	4:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	28-08-2022 15:40	Empty
Empty	50004395	80109246	60597555	80109246	302025	Sandra Chambers	1CLASS	9444162477	kjohnson@example.net	2022	13000	0	0	83126709	chandu	2022-08-29	5:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	29-08-2022 15:40	Empty
Empty	509018778	10906398	60926029	10906398	415604	Brandon Manning	1CLASS	8102680003	jyang@example.net	2022	13000	0	0	83126709	chandu	2022-08-30	6:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	30-08-2022 15:40	Empty
Empty	536753185	12501556	60624489	12501556	274506	Janice Campbell	1CLASS	9426414263	theresa42@example.com	2022	13000	0	0	83126709	chandu	2022-08-31	7:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	31-08-2022 15:40	Empty
Empty	178524134	71800556	60966941	71800556	803119	Jacqueline Beard	1CLASS	9825924078	wbrock@example.org	2022	13000	0	0	83126709	chandu	2022-09-01	8:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	01-09-2022 15:40	Empty
Empty	277847727	12611605	60750954	12611605	412207	Jennifer Hart	1CLASS	8000034522	iguerra@example.net	2022	13000	0	0	83126709	chandu	2022-09-02	9:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	02-09-2022 15:40	Empty
Empty	268742773	11617148	60124173	11617148	273152	Traci Johnson	1CLASS	9811212618	juan11@example.com	2022	13000	0	0	83126709	chandu	2022-09-03	10:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	03-09-2022 15:40	Empty
Empty	454048224	12610929	60489449	12610929	534102	Jessica Smith	2CLASS	9586065924	hardyrobin@example.org	2022	14000	0	0	83126709	chandu	2022-09-04	11:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	04-09-2022 15:40	Empty
Empty	368497790	16907876	60732948	16907876	445001	Katie Keller	2CLASS	8975682204	kweber@example.org	2022	14000	0	0	83126709	chandu	2022-09-05	12:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	05-09-2022 15:40	Empty
Empty	530819095	18614433	60596866	18614433	805130	Molly Brock	2CLASS	9861274858	woodsheather@example.net	2022	14000	0	0	83126709	chandu	2022-09-06	13:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	06-09-2022 15:40	Empty
Empty	401191659	14305812	60672948	14305812	274204	David Pena	2CLASS	9448528320	christopherhart@example.net	2022	14000	0	0	83126709	chandu	2022-09-07	14:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	07-09-2022 15:40	Empty
Empty	19831371	80800881	60520762	80800881	834002	Alexander Cohen	2CLASS	8445951977	manuelrobbins@example.org	2022	14000	0	0	83126709	chandu	2022-09-08	15:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	08-09-2022 15:40	Empty
Empty	125739671	15801577	60524854	15801577	110009	Kendra Pierce	2CLASS	8461896710	smallcole@example.org	2022	14000	0	0	83126709	chandu	2022-09-09	16:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	09-09-2022 15:40	Empty
Empty	313263380	18000603	60856779	18000603	231001	Jessica Bauer	2CLASS	7308764392	gary76@example.net	2022	14000	0	0	83126709	chandu	2022-09-10	17:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	10-09-2022 15:40	Empty
Empty	374106098	11203754	60371733	11203754	332709	Kimberly Robinson	2CLASS	7837446632	qcooper@example.org	2022	14000	0	0	83126709	chandu	2022-09-11	18:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	11-09-2022 15:40	Empty
Empty	51230012	11653698	60801144	11653698	132103	Paula Weaver	2CLASS	7599168019	aaron99@example.org	2022	14000	0	0	83126709	chandu	2022-09-12	19:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	12-09-2022 15:40	Empty
Empty	147631151	10307292	60291515	10307292	782127	Drew Oliver	2CLASS	7386120134	kingkevin@example.org	2022	14000	0	0	83126709	chandu	2022-09-13	20:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	13-09-2022 15:40	Empty
Empty	468330277	10207314	60740629	10207314	453001	Dominic Long	2CLASS	9052724087	davischristian@example.com	2022	14000	0	0	83126709	chandu	2022-09-14	21:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	14-09-2022 15:40	Empty
Empty	245209854	12900339	60141570	12900339	395006	Diane Thomas	2CLASS	9911319706	larry55@example.org	2022	14000	0	0	83126709	chandu	2022-09-15	22:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	15-09-2022 15:40	Empty
Empty	323956637	21815190	60430326	21815190	332718	Christina Montgomery	2CLASS	7678826392	robertanthony@example.org	2022	14000	0	0	83126709	chandu	2022-09-16	23:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	16-09-2022 15:40	Empty
Empty	296482438	74201170	60910880	74201170	851134	Phyllis Stone	2CLASS	9483097659	rosebrent@example.com	2022	14000	0	0	83126709	chandu	2022-09-17	0:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	17-09-2022 15:40	Empty
Empty	135525760	77102528	60372586	77102528	754031	Scott Day	2CLASS	9869507654	kathleencooper@example.org	2022	14000	0	0	83126709	chandu	2022-09-18	1:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	18-09-2022 15:40	Empty
Empty	310118142	20600559	60813670	20600559	388001	Jordan Jackson	2CLASS	9848073478	andrew96@example.net	2022	14000	0	0	83126709	chandu	2022-09-19	2:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	19-09-2022 15:40	Empty
Empty	373927023	13708699	60441887	13708699	248001	Shirley Hobbs	2CLASS	9697141223	jamesguerrero@example.net	2022	14000	0	0	83126709	chandu	2022-09-20	3:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	20-09-2022 15:40	Empty
Empty	288787328	71201664	60784816	71201664	144207	Andrea Morse	2CLASS	7307895125	ashleycarpenter@example.net	2022	14000	0	0	83126709	chandu	2022-09-21	4:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	21-09-2022 15:40	Empty
Empty	436029817	12900967	60707602	12900967	444602	Cory Murphy	2CLASS	9812022056	nrogers@example.org	2022	14000	0	0	83126709	chandu	2022-09-22	5:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	22-09-2022 15:40	Empty
Empty	331162087	22021163	60653929	22021163	441501	Robert Stone	2CLASS	9792049765	betty70@example.org	2022	14000	0	0	83126709	chandu	2022-09-23	6:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	23-09-2022 15:40	Empty
Empty	61736545	12603519	60564730	12603519	110051	Mark Shepard	3CLASS	9157594834	timothy85@example.com	2022	15000	0	0	83126709	chandu	2022-09-24	7:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	24-09-2022 15:40	Empty
Empty	483636130	15206873	60580406	15206873	500032	Stacey Mcneil	3CLASS	9425647871	dustin86@example.net	2022	15000	0	0	83126709	chandu	2022-09-25	8:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	25-09-2022 15:40	Empty
Empty	118904703	10509563	60579278	10509563	481331	Amy Harrison	3CLASS	9390604509	edward68@example.net	2022	15000	0	0	83126709	chandu	2022-09-26	9:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	26-09-2022 15:40	Empty
Empty	95777003	22317554	60492419	22317554	443201	Lisa Perkins	3CLASS	8902195083	xchen@example.org	2022	15000	0	0	83126709	chandu	2022-09-27	10:39:00	SAVELFLDB8AH	SATANSB1QB24LT	1438706295	27-09-2022 15:40	Empty
